Date,07332001-1,07335001-8,07335002-6,07335003-4,07336001-3,07350001-K,07350003-6,07354002-K,07355002-5,07357002-6,07358001-3,07359001-9,08104001-K,08105001-5,08106001-0,08114001-4,08117004-5,08117005-3,08123001-3,08124001-9,08124002-7,08130001-1,08130002-K,08132001-2,08134003-K,08135002-7,08141001-1,08144001-8,08376001-K,08380001-1,08383001-8
2007-03-01,3597609.5999999996,17709408.0,2293833.5999999996,14243039.999999993,238636.8,56937599.99999999,19082303.999999996,20213279.999999996,46569600.0,68195520.0,106686720.0,146715840.0,20071584.000000004,61706879.99999998,73681920.0,24789888.0,12159072.0,4462473.600000001,47010239.99999999,43968960.0,18742751.999999996,2595196.8000000003,10511424.000000002,18900000.0,8791200.000000002,56842560.00000001,154535040.0,13838504.767346937,45890384.93932567,250162560.0000001,203359680.00000003
2007-04-01,12777695.999999996,17406144.0,2836771.1999999993,15766271.999999996,733536.0,28974240.000000004,16427232.000000002,17401824.0,40556160.00000001,100457280.0,54584928.00000003,194149440.00000003,19889279.999999993,53300160.000000015,65275200.00000004,46016640.000000015,10750752.000000004,13016159.999999998,33108480.000000004,62838720.00000001,26345952.0,1565567.9999999998,9707903.999999998,25964064.0,15025824.000000002,85993919.99999999,252737279.99999997,652098.9185122299,38849760.0,331162560.0,281171520.0
2007-05-01,18219168.000000004,128020187.65293607,1357776.0000000002,21102336.000000015,1442015.9999999998,19600704.0,13535424.000000004,13493951.999999998,19279296.0,289993721.526178,18923328.0,171227520.00000003,20975328.000000007,50215680.00000003,61490879.99999998,33645887.99999999,9502272.000000002,19738944.0,31017600.0,66363840.000000015,25288415.999999996,1245456.0,9934271.999999996,39623039.99999999,11091168.000000004,86365439.99999999,303765120.0,0.0,33341759.999999993,438134400.0,326764800.0
2007-06-01,39880512.0,31120494.54545456,3597523.1999999993,36681120.00000001,3505852.7999999993,30192087.272727273,26538624.000000004,25406784.000000004,16765055.999999996,153986399.99999997,23491296.000000004,254292479.99999997,21541247.999999996,49913280.000000015,67374720.00000001,45498240.0,11639808.0,26775359.999999996,45774719.99999999,91108800.0,38117951.99999999,1014768.0000000001,14595551.999999998,59840640.0,13083551.999999998,121867199.99999999,429511680.0,0.0,44340480.00000001,360633600.0,284713920.0
2007-07-01,142177248.0,309355200.00000006,19050854.399999995,151113599.99999988,20101651.200000003,109351767.27272727,140399999.99999997,194227200.0,71339616.0,609923520.0,94048199.49028772,1150848000.0,64566720.00000001,153092160.0000001,246741120.00000003,188861760.00000006,38371104.00000001,90581759.99999999,186010559.99999997,253372021.9901796,196318079.99999997,5257007.999999999,77378976.0,251864639.99999994,82286496.00000001,474828480.0,1383696000.0,39719454.54545455,71095104.00000001,530928000.0,434937600.0
2007-08-01,34534079.99999999,171360205.71428567,7856006.3999999985,80593920.0,25734239.999999996,72005759.99999999,56004479.99999999,109607039.99999999,36342431.99999999,346999679.99999994,27392994.654684514,1052538345.1482755,34378560.00000001,101891519.99999996,147242879.99999997,141661439.99999997,27110591.999999996,70260480.0,107308800.0,173675259.3986829,122454719.99999997,2908569.5999999987,30820607.999999996,178882560.0,58285439.999999985,366560640.00000006,1042761600.0,32690303.999999993,3770582.4,378691200.0,374025600.0
2007-09-01,85332095.99999999,75283197.0133019,2085177.5999999996,86322240.00000004,13118976.0,97381440.00000001,82658880.0,111594239.99999997,44556479.999999985,210401279.99999994,72831064.9363312,484185600.0,66916800.0,155018880.00000003,206521919.99999994,112017599.99999996,26696735.999999996,49697280.00000001,110427840.00000003,123588553.84615384,120597120.00000001,4187462.3999999994,46984319.99999999,158880960.0,26395200.000000004,295721280.00000006,926985600.0,10488959.999999998,9923040.000000002,371433600.0,349055999.99999994
2007-10-01,52413695.99999999,206760660.98377568,8430566.399999999,74977920.0,8249471.999999999,123742079.99999999,105122880.0,134797406.89655173,30055623.380478844,171496960.00000003,64245076.97796243,374319359.99999994,113495039.99999999,257368320.00000003,314470080.0,49513871.27104333,26126496.000000007,40262399.99999999,111067200.0,101623679.99999999,80326080.00000003,4980960.000000001,50267520.000000015,85017599.99999999,26060832.000000004,208206720.00000003,819590400.0,4626720.0,13091327.999999998,246499200.00000003,250058880.00000003
2007-11-01,2636668.8,78472800.00000001,4006367.999999999,40832640.00000001,4773599.999999999,86209919.99999996,74805119.99999999,119681279.99999999,55425600.00000001,64957773.91304348,36251250.96146039,220328640.00000003,86460480.0,228743999.99999997,262880640.00000006,48301725.21175811,18061056.0,13273631.999999994,65171519.99999999,43932672.00000001,31535999.999999996,2632780.8000000003,31831488.0,33683040.0,11649311.999999998,97459199.99999999,442454400.0,13180223.912985219,18423590.4,192983040.00000003,164859840.0
2007-12-01,2288390.4,29981788.55134599,3422390.399999999,14850432.000000004,2848953.5999999996,55607039.99999999,37618560.00000001,58112640.0,57796045.71428571,44467488.00000001,28177835.992994815,143648640.0,39437280.0,122636159.99999996,141894720.00000003,16729255.980875349,14055551.999999993,5285347.2,34864992.0,20937312.0,8086175.999999999,487565.9579486978,16339967.999999996,24802848.0,5021913.6,40644288.0,140901120.0,1326840.4800000002,75453120.0,100759680.00000004,85527051.42857142
2008-01-01,1279843.2000000004,20282400.0,1657584.0000000005,6610464.000000002,1341619.1999999997,48686399.99999999,19441728.0,26047008.000000004,51442560.00000001,20410272.0,74429576.15156247,74684160.0,18776448.000000004,63763200.00000005,77587200.00000001,7233408.000000001,11244095.999999996,1632700.8000000003,42647040.0,13929407.999999998,6185376.0,900280.0147526681,9176544.0,9801216.0,1162425.6,22338720.0,66173760.00000001,132011.68695652176,65957760.00000003,72610560.00000003,54924480.00000001
2008-02-01,1053648.0,7080220.799999999,1568246.3999999994,4423679.999999998,886377.6,44772479.999999985,11638944.0,15177888.000000006,45619200.0,15390432.0,31790880.0,70243199.99999999,12858912.000000002,43199999.999999985,52030079.999999985,11162016.000000002,9491039.999999996,1212537.5999999999,35026560.0,12628223.999999998,6054048.000000001,1401699.867259259,6329663.999999999,9643104.000000002,2423865.5999999996,24564384.0,62553600.0,40404.01558441558,16723171.822823333,77112000.00000003,59088959.99999998
2008-03-01,1270425.5999999999,7542719.999999997,226540.80000000008,3481062.6646594587,686873.2912941177,21270816.000000004,8157887.999999998,11161152.0,39381120.00000001,15839712.000000004,28521503.999999996,95955839.99999999,11632031.999999996,36584959.99999998,44418240.000000015,11695103.999999998,8415360.000000002,1543795.2000000002,33021216.0,24114240.000000004,9228384.0,813828.1774554407,5496768.0,11345184.0,10361951.999999998,39337920.00000001,69405120.00000003,13838504.767346937,38543919.625043966,107688959.99999999,80144640.0
2008-04-01,5966179.199999998,55758427.82608696,618364.8,5028048.000000003,1247942.9828767488,15573600.0,10371456.0,14433984.0,28300320.0,35642592.0,24298272.0,117871200.00000001,12897792.0,36503999.999999985,46301760.000000015,8535455.999999998,7621343.999999998,5245689.599999999,48242303.99999999,39377663.99999999,15163200.0,942720.0000000003,6213024.000000001,11271744.0,18010080.0,66856319.99999999,118895039.99999997,1179081.8767870523,2585660.978658066,97666559.99999999,87091200.0
2008-05-01,845570880.0000001,964051200.0,55845072.0,258902524.79999998,123613457.88365442,563734080.0,539754820.3636364,584969472.0,225664703.99999997,2072950084.7229955,95228352.0,2958949440.0,253896767.99999994,562654080.0,792910080.0000001,295927776.0,94492223.99999999,229524191.99999997,140359805.2173913,466482240.00000006,229902624.0,19359302.4,138921696.0,306941183.99999994,173571552.00000003,749943360.0,2747856960.0,413791197.5204603,79817281.41115715,632543040.0,738840960.0
2008-06-01,241022304.0,286856640.0,13391135.999999998,127422719.99999996,45861984.00000001,189172799.9999999,229338200.20543584,176569632.00000003,56014848.00000001,725546092.412544,90184319.99999997,1701394585.6320152,109270080.00000003,232027200.0000001,373377599.99999994,145549440.0,39971232.000000015,117132480.00000003,134930880.0,246646079.99999997,234596857.91107905,9690624.000000002,56652480.00000001,191419199.9999999,65179295.99999999,468408959.99999994,1510444800.0,63237888.00000001,56953614.078631446,412992000.0,562291200.0
2008-07-01,121651200.0,247242240.0,13543199.999999998,143156160.0,49920192.0,172342079.99999997,193404628.6471021,161513568.0,31858271.999999996,781613856.043302,106202880.0,1155559018.0411935,109287360.00000003,219419186.08695656,351250560.00000006,144521280.0,39275712.000000015,119612160.00000001,121288320.00000001,240554879.99999997,158630400.0,11206080.000000002,59840639.99999999,208595519.99999997,86735232.0,512179200.0,1497052800.0,82374624.0,51952358.52305052,473817600.0,538704000.0
2008-08-01,477627839.99999994,497612159.99999994,22114079.999999993,227244383.99999997,89357472.00000001,342489600.0,256452480.00000006,339802560.00000006,132796800.0,1422921600.0,146854079.99999997,2349475200.0,149463360.0,299462400.00000006,546220800.0,296801280.0,65828159.99999997,190969920.00000003,313977600.00000006,435862079.9999999,357955200.0,23806655.999999996,107377920.0,402606720.0,142464960.0,847152000.0,2500502400.0,153653759.99999997,102616416.00000003,708307200.0,750211200.0
2008-09-01,199808640.0,190797120.00000003,4760467.199999999,104094720.00000003,41251680.00000001,154111679.99999997,94184639.99999999,155917440.0,56341440.000000015,610156800.0,69871680.0,1087516800.0,105122879.99999999,217105919.99999997,347759999.99999994,144616320.00000006,34857216.00000002,98720639.99999999,186788159.99999997,233763840.0,195099840.00000003,15933024.000000002,48677760.00000001,222505920.00000003,53872127.99999997,483753600.0,1426550400.0,51490079.99999999,25995168.0,473817600.0,489456000.0
2008-10-01,35247744.0,33107615.99999999,4913654.399999999,43077312.000000015,9613727.999999996,91400399.99999999,57810240.0,97917120.0,48565440.0,169655040.00000003,35605440.0,324889919.99999994,103792320.00000001,230083200.0000001,311783040.0,39386304.0,18139679.999999993,40087872.00000001,95143679.99999999,85199039.99999999,63002880.00000002,8377344.000000001,28826496.000000007,58835808.00000003,19769184.0,185535360.0,672451200.0,12165120.000000002,3054412.8000000003,210297599.99999997,223318079.99999997
2008-11-01,2971296.0,4112726.4,2874528.0000000005,13230431.999999994,4361472.0,75217871.58808161,48323519.99999999,99334080.0,53886816.00000001,79937280.0,35579520.00000001,241816319.99999994,86901120.00000001,217961280.00000006,277361280.0,22651487.999999996,14103936.000000004,9050399.999999998,64644479.99999999,39623040.0,22947840.000000004,3247603.2000000007,22220351.999999996,15220224.0,9174816.0,72895680.0,410244480.0,13180223.912985219,27555379.2,97130879.99999999,102323520.00000001
2008-12-01,2452723.2,12848803.199999997,995846.4000000003,11751609.599999996,2388700.8000000003,54518832.0,30147551.999999985,53784000.00000001,54302399.99999999,32112287.999999993,35224415.99999999,105684480.0,39743999.99999999,114376319.99999997,132865919.99999997,21946025.50864498,10763712.0,4563483.428571427,58207679.99999999,24899616.0,12172896.000000004,3370535.785607939,14041728.0,10661760.0,5045760.000000001,41316479.99999999,126230400.00000004,1326840.4800000002,109866239.99999999,38681280.0,58605120.000000015
